step,download_date,platform,age_range,user_count,ride_count
App Download,2021-01-01,android,,10,
App Download,2021-01-02,android,,2,
App Download,2021-01-03,android,,5,
App Download,2021-01-04,android,,2,
App Download,2021-01-05,android,,4,
App Download,2021-01-06,android,,5,
App Download,2021-01-07,android,,6,
App Download,2021-01-08,android,,7,
App Download,2021-01-09,android,,5,
App Download,2021-01-10,android,,5,
App Download,2021-01-11,android,,5,
App Download,2021-01-12,android,,4,
App Download,2021-01-13,android,,3,
App Download,2021-01-14,android,,5,
App Download,2021-01-15,android,,6,
App Download,2021-01-16,android,,7,
App Download,2021-01-17,android,,8,
App Download,2021-01-18,android,,6,
App Download,2021-01-19,android,,8,
App Download,2021-01-20,android,,4,
App Download,2021-01-21,android,,5,
App Download,2021-01-22,android,,4,
App Download,2021-01-23,android,,9,
App Download,2021-01-24,android,,4,
App Download,2021-01-25,android,,6,
App Download,2021-01-26,android,,5,
App Download,2021-01-27,android,,5,
App Download,2021-01-28,android,,8,
App Download,2021-01-29,android,,2,
App Download,2021-01-30,android,,4,
App Download,2021-01-31,android,,8,
App Download,2021-02-01,android,,4,
App Download,2021-02-02,android,,9,
App Download,2021-02-03,android,,5,
App Download,2021-02-04,android,,6,
App Download,2021-02-05,android,,3,
App Download,2021-02-06,android,,6,
App Download,2021-02-07,android,,6,
App Download,2021-02-08,android,,6,
App Download,2021-02-09,android,,7,
App Download,2021-02-10,android,,3,
App Download,2021-02-11,android,,5,
App Download,2021-02-12,android,,5,
App Download,2021-02-13,android,,6,
App Download,2021-02-14,android,,4,
App Download,2021-02-15,android,,4,
App Download,2021-02-16,android,,4,
App Download,2021-02-17,android,,6,
App Download,2021-02-18,android,,3,
App Download,2021-02-19,android,,2,
App Download,2021-02-20,android,,3,
App Download,2021-02-21,android,,3,
App Download,2021-02-22,android,,3,
App Download,2021-02-23,android,,4,
App Download,2021-02-24,android,,4,
App Download,2021-02-25,android,,3,
App Download,2021-02-26,android,,7,
App Download,2021-02-27,android,,5,
App Download,2021-02-28,android,,4,
App Download,2021-03-01,android,,7,
App Download,2021-03-02,android,,6,
App Download,2021-03-03,android,,5,
App Download,2021-03-04,android,,5,
App Download,2021-03-05,android,,7,
App Download,2021-03-06,android,,3,
App Download,2021-03-07,android,,5,
App Download,2021-03-08,android,,7,
App Download,2021-03-09,android,,2,
App Download,2021-03-10,android,,7,
App Download,2021-03-11,android,,9,
App Download,2021-03-12,android,,8,
App Download,2021-03-13,android,,5,
App Download,2021-03-14,android,,5,
App Download,2021-03-15,android,,3,
App Download,2021-03-16,android,,3,
App Download,2021-03-17,android,,3,
App Download,2021-03-18,android,,3,
App Download,2021-03-19,android,,5,
App Download,2021-03-20,android,,2,
App Download,2021-03-21,android,,7,
App Download,2021-03-22,android,,2,
App Download,2021-03-23,android,,3,
App Download,2021-03-24,android,,5,
App Download,2021-03-25,android,,5,
App Download,2021-03-26,android,,5,
App Download,2021-03-27,android,,7,
App Download,2021-03-28,android,,7,
App Download,2021-03-29,android,,5,
App Download,2021-03-30,android,,7,
App Download,2021-03-31,android,,6,
App Download,2021-04-01,android,,1,
App Download,2021-04-02,android,,6,
App Download,2021-04-03,android,,5,
App Download,2021-04-04,android,,4,
App Download,2021-04-05,android,,3,
App Download,2021-04-06,android,,8,
App Download,2021-04-07,android,,6,
App Download,2021-04-08,android,,6,
App Download,2021-04-09,android,,5,
App Download,2021-04-10,android,,5,
App Download,2021-04-11,android,,4,
App Download,2021-04-12,android,,5,
App Download,2021-04-13,android,,3,
App Download,2021-04-14,android,,3,
App Download,2021-04-15,android,,5,
App Download,2021-04-16,android,,7,
App Download,2021-04-17,android,,4,
App Download,2021-04-18,android,,8,
App Download,2021-04-19,android,,8,
App Download,2021-04-20,android,,5,
App Download,2021-04-21,android,,3,
App Download,2021-04-22,android,,5,
App Download,2021-04-23,android,,8,
App Download,2021-04-24,android,,2,
App Download,2021-04-25,android,,6,
App Download,2021-04-26,android,,2,
App Download,2021-04-27,android,,7,
App Download,2021-04-28,android,,4,
App Download,2021-04-29,android,,9,
App Download,2021-04-30,android,,8,
App Download,2021-05-01,android,,2,
App Download,2021-05-02,android,,7,
App Download,2021-05-03,android,,4,
App Download,2021-05-04,android,,7,
App Download,2021-05-05,android,,8,
App Download,2021-05-06,android,,7,
App Download,2021-05-07,android,,3,
App Download,2021-05-08,android,,6,
App Download,2021-05-09,android,,6,
App Download,2021-05-10,android,,5,
App Download,2021-05-11,android,,4,
App Download,2021-05-12,android,,6,
App Download,2021-05-13,android,,6,
App Download,2021-05-14,android,,5,
App Download,2021-05-15,android,,5,
App Download,2021-05-16,android,,1,
App Download,2021-05-17,android,,6,
